token,lemma,upos,clique,stem,synonyms,hypernyms
news,news,NOUN,3,new,intelligence|news|news program|news show|newsworthiness|tidings|word,information|info|broadcast|program|programme|interest|interestingness
industry,industry,NOUN,3,industri,diligence|industriousness|industry|manufacture,commercial enterprise|business enterprise|business|determination|purpose
document,document,NOUN,3,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
summarization,summarization,NOUN,3,summar,summarisation|summarization,report|account
recommendations,recommendation,NOUN,3,recommend,good word|passport|recommendation|testimonial,advice|praise|congratulations|kudos|extolment|characteristic
keywords,keyword,NOUN,4,keyword,,NA
also,also,ADV,4,also,also|as well|besides|likewise|too,NA
aid,aid,NOUN,4,aid,aid|assist|assistance|attention|care|economic aid|economic assistance|financial aid|financial assistance|help|tending,resource|activity|gift|work
constructing,construct,VERB,4,construct,build|construct|fabricate|make|manufacture|reconstruct|retrace,make|create|trace|draw|line|describe|delineate|create by mental act|create mentally|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose
titles,titles,NOUN,4,titl,,NA
articles,article,NOUN,4,articl,article|clause,nonfiction|nonfictional prose|piece|artifact|artefact|section|subdivision|determiner|determinative
assigning,assign,VERB,4,assign,allot|arrogate|ascribe|assign|attribute|delegate|depute|designate|impute|portion|put|set apart|specify,appoint|charge|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|evaluate|pass judgment|judge|choose|take|select|pick out|use|utilize|utilise|apply|employ|claim|lay claim|arrogate|transfer
tags,tags,NOUN,4,tag,,NA
blogs,blog,NOUN,4,blog,blog|web log,diary|journal
so,so,ADV,4,so,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
documents,document,NOUN,5,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
web,web,NOUN,5,web,entanglement|network|vane|web|World Wide Web|WWW,object|physical object|trap|blade|system|scheme|computer network|fabric|cloth|material|textile|membrane|tissue layer
however,however,ADV,5,howev,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
accompanied,accompany,VERB,5,accompani,accompany|attach to|come with|companion|company|follow|go with|keep company|play along,travel|go|move|locomote|play|consort|associate|affiliate|assort
keywords,keyword,NOUN,5,keyword,,NA
assigned,assign,VERB,5,assign,allot|arrogate|ascribe|assign|attribute|delegate|depute|designate|impute|portion|put|set apart|specify,appoint|charge|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|evaluate|pass judgment|judge|choose|take|select|pick out|use|utilize|utilise|apply|employ|claim|lay claim|arrogate|transfer
authors,author,NOUN,5,author,author|generator|source|writer,communicator|maker|shaper
case,case,NOUN,5,case,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen
important,important,ADJ,5,import,authoritative|crucial|important|of import|significant,
relevant,relevant,ADJ,5,relev,relevant,
terms,term,NOUN,5,term,condition|full term|strings|term|terminal figure|terminus,word|time period|period of time|period|statement|quantity|constituent|grammatical constituent|point|point in time|statue
have,have,VERB,5,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
extracted,extract,VERB,5,extract,distil|distill|draw out|educe|elicit|evoke|excerpt|express|extract|press out|pull|pull out|pull up|rip out|take out|tear out,remove|take|take away|withdraw|obtain|interpret|construe|see|make|create|separate|get|acquire|choose|select|pick out|calculate|cipher|cypher|compute|work out|reckon|figure
document,document,NOUN,5,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
inundated,inundate,VERB,6,inund,deluge|flood|inundate|submerge|swamp,fill|fill up|make full|flood
massive,massive,ADJ,6,massiv,massive|monolithic|monumental,
volume,volume,NOUN,6,volum,book|bulk|intensity|loudness|mass|volume,measure|quantity|amount|magnitude|product|production|publication|sound property
digital,digital,ADJ,6,digit,digital,
documents,document,NOUN,6,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
available,available,ADJ,6,avail,available|uncommitted|usable|useable,
internet,internet,NOUN,6,internet,cyberspace|internet|net,computer network
feasible,feasible,ADJ,6,feasibl,executable|feasible|practicable|viable|workable,
manually,manually,ADV,6,manual,manually,
extract,extract,NOUN,6,extract,excerpt|excerption|extract|infusion|selection,solution|passage
keywords,keyword,NOUN,6,keyword,,NA
consequently,consequently,ADV,7,consequ,accordingly|consequently|therefore,
nlp,nlp,NOUN,7,nlp,human language technology|natural language processing|NLP,information science|informatics|information processing|IP
researchers,researcher,NOUN,7,research,investigator|research worker|researcher,scientist
continually,continually,ADV,7,continu,continually,
strive,strive,ADJ,7,strive,,NA
improving,improve,VERB,7,improv,ameliorate|amend|better|improve|meliorate,change|alter|modify|change state|turn
automated,automate,ADJ,7,autom,,NA
methods,method,NOUN,7,method,method|method acting,know-how|acting|playing|playacting|performing
keyword,keyword,NOUN,7,keyword,,NA
extraction,extraction,NOUN,7,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
keyphrase,keyphrase,NOUN,8,keyphras,,NA
extraction,extraction,NOUN,8,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
considered,consider,VERB,8,consid,believe|conceive|consider|count|deal|debate|deliberate|look at|moot|reckon|regard|see|study|take|think|turn over|view|weigh,think|believe|consider|conceive|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate|think about|hash out|discuss|talk over|evaluate|pass judgment|judge|look|analyze|analyse|study|examine|canvass|see|reckon|view|regard
as,as,ADV,8,a,as|equally|every bit,
extension,extension,NOUN,8,extens,annex|annexe|denotation|elongation|extension|extension phone|extension service|file name extension|filename extension|lengthiness|prolongation|propagation|reference|telephone extension|university extension|wing,delay|hold|time lag|postponement|wait|expansion|enlargement|dissemination|airing|public exposure|spreading|education|instruction|teaching|pedagogy|didactics|educational activity|stretching|string|meaning|substance|property|dance|longness|telephone|phone|telephone set|addition|add-on|improver
keyword,keyword,NOUN,8,keyword,,NA
task,task,NOUN,8,task,chore|job|labor|project|task|undertaking,work|duty
mihalcea,mihalcea,NOUN,8,mihalcea,,NA
vazirgiannis,vazirgiannis,NOUN,8,vazirgianni,,NA
arising,arise,VERB,9,aris,arise|bob up|come up|develop|get up|go up|grow|lift|move up|originate|rebel|rise|rise up|spring up|stand up|turn out|uprise,become|change posture|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|travel|go|move|locomote|protest|resist|dissent
problem,problem,NOUN,9,problem,job|problem|trouble,difficulty|question|head
automated,automate,ADJ,9,autom,,NA
index,index,NOUN,9,index,exponent|forefinger|index|index finger|index number|indicant|indicator|power,scale|scale of measurement|graduated table|ordered series|fact|mathematical notation|list|listing|finger
generation,generation,NOUN,9,gener,coevals|contemporaries|generation|genesis|multiplication|propagation,people|biological group|time period|period of time|period|phase|stage|beginning|production|reproduction|procreation|breeding|facts of life
luhn,luhn,NOUN,9,luhn,,NA
earliest,earliest,ADJ,9,earliest,earlier|earliest,
keyword,keyword,NOUN,9,keyword,,NA
extraction,extraction,NOUN,9,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
techniques,techniques,NOUN,9,techniqu,,NA
used,use,VERB,9,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
statistical,statistical,ADJ,9,statist,statistical,
methods,method,NOUN,9,method,method|method acting,know-how|acting|playing|playacting|performing
herrera,herrera,NOUN,9,herrera,,NA
carpena,carpena,NOUN,9,carpena,,NA
galván,galván,NOUN,9,galván,,NA
somoza,somoza,NOUN,9,somoza,,NA
advantage,advantage,NOUN,9,advantag,advantage|reward|vantage,asset|plus|point|benefit|welfare
language,language,NOUN,9,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
domain,domain,NOUN,9,domain,area|arena|demesne|domain|domain of a function|field|knowledge base|knowledge domain|land|orbit|sphere|world,environment|region|set|class|stratum|social class|socio-economic class|content|cognitive content|mental object
independence,independence,NOUN,9,independ,independence|Independence|independency,freedom|victory|triumph
recent,recent,ADJ,10,recent,late(a)|recent,
popularity,popularity,NOUN,10,popular,popularity,quality
machine,machine,NOUN,10,machin,auto|automobile|car|machine|motorcar|political machine|simple machine,device|person|individual|someone|somebody|mortal|soul|organization|organisation|mechanical device|motor vehicle|automotive vehicle
learning,learn,VERB,10,learn,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
approaches,approach,VERB,10,approach,approach|border on|come near|come on|draw close|draw near|go about|go up|near|set about,come|come up|approximate|come close|act|move|address|accost|come up to
supervised,supervise,VERB,10,supervis,manage|monitor|oversee|superintend|supervise,administer|administrate|observe
unsupervised,unsupervised,ADJ,10,unsupervis,unsupervised,
methods,method,NOUN,10,method,method|method acting,know-how|acting|playing|playacting|performing
keyword,keyword,NOUN,10,keyword,,NA
extraction,extraction,NOUN,10,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
have,have,VERB,10,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
forefront,forefront,VERB,10,forefront,,NA
research,research,NOUN,10,research,enquiry|inquiry|research,investigation|investigating|problem solving
arena,arena,NOUN,10,arena,area|arena|bowl|domain|field|orbit|scene of action|sphere|sports stadium|stadium,environment|area|country|structure|construction|playing field|athletic field|playing area|field
boudin,boudin,NOUN,10,boudin,,NA
caragea,caragea,NOUN,10,caragea,,NA
mothe,moto,NOUN,10,moto,,NA
ramiandrisoa,ramiandrisoa,NOUN,10,ramiandrisoa,,NA
rasolomanana,rasolomanana,NOUN,10,rasolomanana,,NA
supervised,supervise,VERB,11,supervis,manage|monitor|oversee|superintend|supervise,administer|administrate|observe
learning,learn,VERB,11,learn,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
methods,method,NOUN,11,method,method|method acting,know-how|acting|playing|playacting|performing
basically,basically,ADV,11,basic,basically|essentially|fundamentally,
identify,identify,VERB,11,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise
keywords,keyword,NOUN,11,keyword,,NA
keyphrases,keyphrase,NOUN,11,keyphras,,NA
modeling,modeling,NOUN,11,model,clay sculpture|model|modeling|modelling|mold|molding|mould|moulding,sculpture|carving|representation
problem,problem,NOUN,11,problem,job|problem|trouble,difficulty|question|head
as,as,ADV,11,a,as|equally|every bit,
binary,binary,NOUN,11,binari,binary|binary program|binary star|double star,star|program|programme|computer program|computer programme
classification,classification,NOUN,11,classif,assortment|categorisation|categorization|classification|compartmentalisation|compartmentalization|sorting,grouping|arrangement|basic cognitive process|restriction|confinement
task,task,NOUN,11,task,chore|job|labor|project|task|undertaking,work|duty
unsupervised,unsupervised,ADJ,11,unsupervis,unsupervised,
extract,extract,NOUN,11,extract,excerpt|excerption|extract|infusion|selection,solution|passage
quantifying,quantify,VERB,11,quantifi,measure|quantify,specify|set|determine|define|fix|limit|carry|convey|express
ranking,rank,NOUN,11,rank,membership|rank|rank and file|social rank|social station|social status,line|status|position|force|personnel|body
words,word,NOUN,11,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text
embedded,embed,VERB,11,emb,embed|engraft|imbed|implant|plant,insert|infix|enter|introduce|group|aggroup
ness,ness,NOUN,11,ness,cape|ness,land|dry land|earth|ground|solid ground|terra firma
text,text,NOUN,11,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
though,though,ADV,12,though,though,NA
enrichment,enrichment,NOUN,12,enrich,enrichment,improvement|gift
features,feature,NOUN,12,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
supervised,supervise,VERB,12,supervis,manage|monitor|oversee|superintend|supervise,administer|administrate|observe
approaches,approach,VERB,12,approach,approach|border on|come near|come on|draw close|draw near|go about|go up|near|set about,come|come up|approximate|come close|act|move|address|accost|come up to
growing,grow,VERB,12,grow,acquire|arise|develop|farm|get|grow|maturate|mature|originate|produce|raise|rise|spring up|turn|uprise,change|increase|develop|make grow|become|cultivate
sophistication,sophistication,NOUN,12,sophist,edification|mundaneness|mundanity|sophism|sophistication|sophistry|worldliness,enlightenment|fallacy|false belief|expertness|expertise|quality|falsification|falsehood
techniques,techniques,NOUN,12,techniqu,,NA
have,have,VERB,12,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
achieved,achieve,VERB,12,achiev,accomplish|achieve|attain|reach,succeed|win|come through|bring home the bacon|deliver the goods
enhanced,enhance,VERB,12,enhanc,enhance|heighten|raise,intensify|compound|heighten|deepen|better|improve|amend|ameliorate|meliorate
performance,performance,NOUN,12,perform,carrying into action|carrying out|execution|functioning|operation|performance|public presentation,show|presentation|presentment|demonstration|action|accomplishment|achievement|process|physical process
inadvertently,inadvertently,ADV,12,inadvert,inadvertently|unknowingly|unwittingly,
methods,method,NOUN,12,method,method|method acting,know-how|acting|playing|playacting|performing
promoted,promote,VERB,12,promot,advance|advertise|advertize|boost|elevate|encourage|further|kick upstairs|promote|push|raise|upgrade,support|back up|delegate|designate|depute|assign|praise|change|play
fixation,fixation,NOUN,12,fixat,arrested development|fixation|fixing|infantile fixation|obsession|regression,abnormality|abnormalcy|preoccupation|fastening|attachment|preservation
document,document,NOUN,12,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
structure,structure,NOUN,12,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
language,language,NOUN,12,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
domain,domain,NOUN,12,domain,area|arena|demesne|domain|domain of a function|field|knowledge base|knowledge domain|land|orbit|sphere|world,environment|region|set|class|stratum|social class|socio-economic class|content|cognitive content|mental object
collection,collection,NOUN,12,collect,accumulation|aggregation|appeal|assemblage|assembling|collecting|collection|compendium|ingathering|solicitation,group|grouping|publication|request|petition|postulation
several,several,ADJ,13,sever,respective(a)|several(a)|several(p)|various(a),
state,state,NOUN,13,state,body politic|commonwealth|country|Department of State|DoS|land|nation|province|res publica|state|State|State Department|state of matter|United States Department of State,administrative district|administrative division|territorial division|attribute|government|authorities|regime|political unit|political entity|chemical phenomenon|emotional state|spirit|executive department
art,art,NOUN,13,art,art|artistic creation|artistic production|artistry|artwork|fine art|graphics|nontextual matter|prowess,creation|creative activity|superior skill|visual communication
supervised,supervise,VERB,13,supervis,manage|monitor|oversee|superintend|supervise,administer|administrate|observe
algorithms,algorithm,NOUN,13,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula
keyword,keyword,NOUN,13,keyword,,NA
extraction,extraction,NOUN,13,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
fail,fail,NOUN,13,fail,,NA
accommodate,accommodate,NOUN,13,accommod,,NA
generic,generic,ADJ,13,gener,generic,
design,design,NOUN,13,design,aim|blueprint|conception|design|designing|excogitation|figure|innovation|intent|intention|invention|pattern|plan|purpose,creating by mental acts|arrangement|organization|organisation|system|plan|program|programme|decoration|ornament|ornamentation|goal|end|sketch|study|creativity|creativeness|creative thinking
following,follow,VERB,13,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on
reasons,reason,NOUN,13,reason,cause|ground|grounds|intellect|rationality|reason|reasonableness|understanding,rational motive|explanation|account|faculty|mental faculty|module|sanity|saneness|justification|fact
first,first,ADV,14,first,first|first of all|first off|firstly|foremost,NA
require,require,VERB,14,requir,ask|call for|command|demand|expect|involve|necessitate|need|postulate|require|take|want,demand|order|tell|enjoin|say|be
linguistic,linguistic,ADJ,14,linguist,lingual|linguistic,
knowledge,knowledge,NOUN,14,knowledg,cognition|knowledge|noesis,psychological feature
hence,hence,ADV,14,henc,hence|so|thence|therefore|thus,NA
dependent,dependent,ADJ,14,depend,dependant|dependent|drug-addicted|hooked|pendant|pendent|qualified|strung-out|subject|subordinate,
language,language,NOUN,14,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
tools,tool,NOUN,14,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member
example,example,NOUN,14,exampl,case|deterrent example|example|exemplar|exercise|good example|illustration|instance|lesson|model|object lesson|representative,information|representation|mental representation|internal representation|ideal|admonition|monition|warning|word of advice|happening|occurrence|occurrent|natural event|lesson
works,work,VERB,14,work,act|act upon|bring|crop|cultivate|do work|exercise|exploit|ferment|figure out|forge|form|function|go|influence|knead|lick|make|make for|mold|mould|operate|play|process|put to work|puzzle out|run|shape|solve|sour|turn|work|work on|work out|wreak,succeed|win|come through|bring home the bacon|deliver the goods|transform|transmute|transubstantiate|work|put to work|pass|go|proceed|move|displace|make|create|use|utilize|utilise|apply|employ|fix|prepare|set up|ready|gear up|set|be|affect|impact|bear upon|bear on|touch on|touch|operate|run|manage|deal|care|handle|stimulate|excite|stir|capture|enamour|trance|catch|becharm|enamor|captivate|beguile|charm|fascinate|bewitch|entrance|enchant|create from raw material|create from raw stuff|manipulate|understand|convert|change state|turn|become|get
chuang,chuang,NOUN,14,chuang,,NA
manning,mann,VERB,14,mann,,NA
heer,heer,NOUN,14,heer,,NA
hulth,hulth,NOUN,14,hulth,,NA
nguyen,nguyen,ADV,14,nguyen,,NA
kan,kan,NOUN,14,kan,,NA
zhang,zhang,NOUN,14,zhang,,NA
methods,method,NOUN,15,method,method|method acting,know-how|acting|playing|playacting|performing
generate,generate,VERB,15,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce
language,language,NOUN,15,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
dependent,dependent,ADJ,15,depend,dependant|dependent|drug-addicted|hooked|pendant|pendent|qualified|strung-out|subject|subordinate,
features,feature,NOUN,15,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
specific,specific,ADJ,15,specif,specific,
training,training,NOUN,15,train,breeding|education|grooming|preparation|training,activity|upbringing
set,set,VERB,15,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten
second,second,ADV,16,second,second|secondly,NA
most,most,ADJ,16,most,most(a),
existing,exist,VERB,16,exist,be|exist|live|subsist|survive,
supervised,supervise,VERB,16,supervis,manage|monitor|oversee|superintend|supervise,administer|administrate|observe
algorithms,algorithm,NOUN,16,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula
domain,domain,NOUN,16,domain,area|arena|demesne|domain|domain of a function|field|knowledge base|knowledge domain|land|orbit|sphere|world,environment|region|set|class|stratum|social class|socio-economic class|content|cognitive content|mental object
dependent,dependent,ADJ,16,depend,dependant|dependent|drug-addicted|hooked|pendant|pendent|qualified|strung-out|subject|subordinate,
caragea,caragea,NOUN,16,caragea,,NA
godea,godea,NOUN,16,godea,,NA
kim,kim,NOUN,16,kim,,NA
medelyan,medelyan,ADJ,16,medelyan,,NA
kan,kan,NOUN,16,kan,,NA
baldwin,baldwin,NOUN,16,baldwin,1st Earl Baldwin of Bewdley|Baldwin|James Arthur Baldwin|James Baldwin|Stanley Baldwin,eating apple|dessert apple
nguyen,nguyen,ADV,16,nguyen,,NA
example,example,NOUN,17,exampl,case|deterrent example|example|exemplar|exercise|good example|illustration|instance|lesson|model|object lesson|representative,information|representation|mental representation|internal representation|ideal|admonition|monition|warning|word of advice|happening|occurrence|occurrent|natural event|lesson
citations,citation,NOUN,17,citat,acknowledgment|citation|Citation|cite|commendation|credit|mention|quotation|quote|reference,award|accolade|honor|honour|laurels|speech act|note|annotation|notation|excerpt|excerption|extract|selection|summons|process
enhanced,enhance,VERB,17,enhanc,enhance|heighten|raise,intensify|compound|heighten|deepen|better|improve|amend|ameliorate|meliorate
keyword,keyword,NOUN,17,keyword,,NA
extraction,extraction,NOUN,17,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
caragea,caragea,NOUN,17,caragea,,NA
