token,lemma,upos,clique,stem,synonyms,hypernyms
images,image,NOUN,3,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
deposition,deposition,NOUN,3,deposit,deposit|deposition|dethronement,accretion|accumulation|interrogation|examination|interrogatory|buildup|ouster|ousting
inside,inside,ADV,3,insid,at bottom|at heart|deep down|in spite of appearance|indoors|inside|inwardly|within,NA
tissue,tissue,NOUN,3,tissu,tissue|tissue paper,body part|paper
preclinical,preclinical,ADJ,3,preclin,preclinical|presymptomatic,
clinical,clinical,ADJ,3,clinic,clinical,
research,research,NOUN,3,research,enquiry|inquiry|research,investigation|investigating|problem solving
pam,pam,NOUN,4,pam,,NA
provides,provide,NOUN,4,provid,,NA
dimensional,dimensional,ADJ,4,dimension,dimensional,
threed,three,VERB,4,three,,NA
resolution,resolution,NOUN,4,resolut,answer|closure|declaration|firmness|firmness of purpose|resoluteness|resolution|resolve|resolving|resolving power|result|settlement|solution|solvent|solving,document|written document|papers|physical phenomenon|trait|determination|finding|decision making|deciding|breakdown|partitioning|remission|remittal|subsidence|harmony|musical harmony|statement|decision|conclusion
images,image,NOUN,4,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
combination,combination,NOUN,4,combin,combination|combining|compounding,collection|aggregation|accumulation|assemblage|sequence|unit|social unit|alliance|coalition|alignment|alinement|mathematical process|mathematical operation|operation|change of integrity
point,point,NOUN,4,point,breaker point|compass point|decimal point|degree|detail|distributor point|dot|full point|full stop|gunpoint|head|item|level|peak|percentage point|period|point|point in time|pointedness|power point|spot|stage|stop|tip,component|constituent|element|factor|ingredient|location|meaning|significance|signification|import|fact|state|measure|quantity|amount|aim|object|objective|target|convex shape|convexity|disk|disc|saucer|unit of measurement|unit|promontory|headland|head|foreland|part|portion|component part|relevance|relevancy|characteristic|end|terminal|direction|linear unit|linear measure|loan|punctuation|punctuation mark|mark|mathematical notation|taper|gun muzzle|muzzle|wall socket|wall plug|electric outlet|electrical outlet|outlet|electric receptacle|contact|tangency
scanning,scan,VERB,4,scan,glance over|rake|read|run down|scan|skim,examine|see|search|conform|move|displace|declaim|recite|interpret|construe
focused,focus,VERB,4,focu,center|centre|concenter|concentrate|concentre|focalise|focalize|focus|pore|rivet|sharpen,think|cogitate|cerebrate|sharpen|align|aline|line up|adjust|conform|adapt|set|correct
optical,optical,ADJ,4,optic,ocular|ophthalmic|optic|optical|visual,
beam,beam,NOUN,4,beam,balance beam|beam|beam of light|electron beam|irradiation|light beam|radio beam|ray|ray of light|shaft|shaft of light,signal|signaling|sign|structural member|piece|electromagnetic radiation|electromagnetic wave|nonparticulate radiation|light|visible light|visible radiation|width|breadth|side|gymnastic apparatus|exerciser
excitation,excitation,NOUN,4,excit,excitation|excitement|fervor|fervour|inflammation|innervation|irritation,emotional arousal|arousal|rousing
acoustic,acoustic,ADJ,4,acoust,acoustic|acoustical,
detection,detection,NOUN,4,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
present,present,ADJ,5,present,present|present(a),
trends,trend,NOUN,5,trend,course|drift|movement|style|tendency|trend|vogue,direction|way|inclination|disposition|tendency|taste|appreciation|discernment|perceptiveness
usually,usually,ADV,5,usual,commonly|normally|ordinarily|unremarkably|usually,
research,research,NOUN,5,research,enquiry|inquiry|research,investigation|investigating|problem solving
improving,improve,VERB,5,improv,ameliorate|amend|better|improve|meliorate,change|alter|modify|change state|turn
pam,pam,NOUN,5,pam,,NA
imaging,image,VERB,5,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
speed,speed,NOUN,5,speed,amphetamine|f number|fastness|focal ratio|hurrying|pep pill|speed|speeding|stop number|swiftness|upper|velocity,rate|pace|motion|movement|move|ratio|stimulant|stimulant drug|excitant|drug of abuse|street drug
maintaining,maintain,VERB,5,maintain,assert|asseverate|conserve|defend|exert|hold|keep|keep up|maintain|observe|preserve|sustain|uphold|wield,keep|have|have got|hold|insist|take a firm stand|record|enter|put down|affirm|confirm|reassert
highly,highly,ADV,5,highli,extremely|highly,NA
sensitive,sensitive,ADJ,5,sensit,raw|sensible|sensitive|sore|tender,
detection,detection,NOUN,5,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
spatial,spatial,ADJ,5,spatial,spacial|spatial,
resolution,resolution,NOUN,5,resolut,answer|closure|declaration|firmness|firmness of purpose|resoluteness|resolution|resolve|resolving|resolving power|result|settlement|solution|solvent|solving,document|written document|papers|physical phenomenon|trait|determination|finding|decision making|deciding|breakdown|partitioning|remission|remittal|subsidence|harmony|musical harmony|statement|decision|conclusion
such,such,ADJ,5,such,such(a),
as,as,ADV,5,a,as|equally|every bit,
microelectromechanical,microelectromechanical,ADJ,5,microelectromechan,,NA
system,system,NOUN,5,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
mems,mem,NOUN,5,mem,mem,letter|letter of the alphabet|alphabetic character
galvanometer,galvanometer,NOUN,5,galvanomet,galvanometer,meter
scanner,scanner,NOUN,5,scanner,digital scanner|electronic scanner|image scanner|scanner,reviewer|referee|reader|electronic device|data input device|input device|dish|dish aerial|dish antenna|saucer|detector
polygon,polygon,NOUN,5,polygon,polygon|polygonal shape,plane figure|two-dimensional figure
scanners,scanner,NOUN,5,scanner,digital scanner|electronic scanner|image scanner|scanner,reviewer|referee|reader|electronic device|data input device|input device|dish|dish aerial|dish antenna|saucer|detector
voice,voice,NOUN,5,voic,articulation|interpreter|part|phonation|representative|spokesperson|vocalisation|vocalism|vocalization|voice|vox,sound|communication|expression|verbal expression|verbalism|means|agency|way|singer|vocalist|vocalizer|vocaliser|advocate|advocator|proponent|exponent|physical ability|grammatical relation|tune|melody|air|strain|melodic line|line|melodic phrase
coil,coil,NOUN,5,coil,coil|curl|curlicue|gyre|helix|ringlet|roll|scroll|spiral|volute|whorl,structure|construction|round shape|transformer|contraceptive|preventive|preventative|contraceptive device|prophylactic device|birth control device|tube|tubing|reactor
slider,slider,NOUN,5,slider,luger|Pseudemys scripta|skidder|slider|slipper|yellow-bellied terrapin,person|individual|someone|somebody|mortal|soul|sledder|turtle|fastball|heater|smoke|hummer|bullet
crank,crank,NOUN,5,crank,chalk|chicken feed|churl|crackpot|crank|crosspatch|deoxyephedrine|fruitcake|glass|grouch|grump|ice|meth|methamphetamine|methamphetamine hydrochloride|Methedrine|nut|nut case|screwball|shabu|starter|trash,unpleasant person|disagreeable person|eccentric|eccentric person|flake|oddball|geek|amphetamine|pep pill|upper|speed|controlled substance|hand tool
scanning,scan,VERB,5,scan,glance over|rake|read|run down|scan|skim,examine|see|search|conform|move|displace|declaim|recite|interpret|construe
fast,fast,ADJ,6,fast,debauched|degenerate|degraded|dissipated|dissolute|fast|fast(a)|firm|flying|immobile|libertine|loyal|profligate|quick|riotous|truehearted,
imaging,image,VERB,6,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
quality,quality,NOUN,6,qualiti,caliber|calibre|character|lineament|quality|timber|timbre|tone,attribute|degree|grade|level|property|dimension|sound property|social station|social status|social rank|rank
standards,standard,NOUN,6,standard,banner|criterion|measure|monetary standard|standard|touchstone,system of measurement|metric|ideal|volume unit|capacity unit|capacity measure|cubage unit|cubic measure|cubic content unit|displacement unit|cubature unit|value|post|flag
computational,computational,ADJ,6,comput,computational,
technique,technique,NOUN,6,techniqu,proficiency|technique,method|skillfulness
based,base,VERB,6,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
deep,deep,ADJ,6,deep,abstruse|bass|cryptic|cryptical|deep|inscrutable|mysterious|mystifying|recondite|rich|thick,
learning,learn,VERB,6,learn,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
essentially,essentially,ADV,6,essenti,basically|essentially|fundamentally,
important,important,ADJ,6,import,authoritative|crucial|important|of import|significant,
pam,pam,NOUN,7,pam,,NA
has,have,VERB,7,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
found,find,VERB,7,find,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow
safe,safe,ADJ,7,safe,dependable|good|safe|safe(p)|secure,
humans,human,NOUN,7,human,homo|human|human being|man,hominid
widely,widely,ADV,7,wide,wide|widely,NA
used,use,VERB,7,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
image,image,NOUN,7,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
structure,structure,NOUN,7,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
microvasculature,microvasculature,NOUN,7,microvasculatur,,NA
furthermore,furthermore,ADV,8,furthermor,furthermore|moreover|what is more,NA
pam,pam,NOUN,8,pam,,NA
has,have,VERB,8,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
great,great,ADJ,8,great,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),
advantages,advantages,NOUN,8,advantag,,NA
imaging,image,VERB,8,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
functional,functional,ADJ,8,function,functional|operable|operational|operative|running(a)|usable|useable|working(a),
properties,property,NOUN,8,properti,attribute|belongings|dimension|holding|place|prop|property,possession|attribute|geographical area|geographic area|geographical region|geographic region|concept|conception|construct|object|physical object
such,such,ADJ,8,such,such(a),
as,as,ADV,8,a,as|equally|every bit,
oxygen,oxygan,NOUN,8,oxygan,,NA
saturation,saturation,NOUN,8,satur,chroma|impregnation|intensity|saturation|vividness,permeation|pervasion|suffusion|filling|condition|status|color property
hemoglobin,hemoglobin,NOUN,8,hemoglobin,haemoglobin|Hb|hemoglobin,hemoprotein|haemoprotein
concentration,concentration,NOUN,8,concentr,absorption|assiduity|assiduousness|compactness|concentration|denseness|density|engrossment|immersion|tightness,property|spacing|spatial arrangement|strengthening|increase|attention|assembly|assemblage|gathering|diligence|industriousness|industry
blood,blood,NOUN,8,blood,ancestry|blood|blood line|bloodline|descent|line|line of descent|lineage|origin|parentage|pedigree|profligate|rake|rakehell|rip|roue|stemma|stock,liquid body substance|bodily fluid|body fluid|humor|humour|disposition|temperament|libertine|debauchee|rounder|genealogy|family tree|people
flow,flow,VERB,8,flow,course|fall|feed|flow|flux|hang|menstruate|run,move|exist|be|flood|shed blood|bleed|hemorrhage
crucial,crucial,ADJ,8,crucial,all important(p)|all-important(a)|crucial|essential|important|of the essence(p),
diagnosis,diagnosis,NOUN,8,diagnosi,diagnosing|diagnosis,designation|identification
staging,stage,VERB,8,stage,arrange|present|represent|stage,re-create|initiate|pioneer
study,study,NOUN,8,studi,bailiwick|cogitation|discipline|field|field of study|report|sketch|study|subject|subject area|subject field|survey|work|written report,examination|scrutiny|learning|acquisition|document|written document|papers|concentration|engrossment|absorption|immersion|room|knowledge domain|knowledge base|domain|drawing|contemplation|reflection|reflexion|rumination|musing|thoughtfulness|memorizer|memoriser|musical composition|opus|composition|piece|piece of music
vascular,vascular,ADJ,8,vascular,vascular,
diseases,disease,NOUN,8,diseas,disease,illness|unwellness|malady|sickness
diabetes,diabete,NOUN,8,diabet,,NA
stroke,stroke,NOUN,8,stroke,accident|apoplexy|cam stroke|cerebrovascular accident|chance event|CVA|diagonal|fortuity|separatrix|shot|slash|solidus|stroke|stroking|throw|virgule,maneuver|manoeuvre|play|movement|motion|attack|touch|touching|score|oarsman|rower|happening|occurrence|occurrent|natural event|punctuation|punctuation mark|mark|print|locomotion|travel|move|motility
cancer,cancer,NOUN,8,cancer,cancer|Cancer|Cancer the Crab|Crab|genus Cancer|malignant neoplastic disease,malignant tumor|malignant neoplasm|metastatic tumor|person|individual|someone|somebody|mortal|soul|arthropod genus
neural,neural,ADJ,8,neural,nervous|neural|neuronal|neuronic,
degenerative,degenerative,ADJ,8,degen,degenerative,
however,however,ADV,9,howev,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
human,human,ADJ,9,human,human,
imaging,image,VERB,9,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
generated,generate,VERB,9,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce
pa,pa,NOUN,9,pa,atomic number 91|dad|dada|daddy|Keystone State|P.A.|P.A. system|pa|Pa|PA|PA system|Pa.|papa|pappa|pascal|Pennsylvania|pop|protactinium|protoactinium|public address system,father|male parent|begetter|metallic element|metal|pressure unit|communication system
signals,signal,NOUN,9,signal,sign|signal|signaling,communication|incitement|incitation|provocation|electricity|electrical energy|power
skin,skin,NOUN,9,skin,baldhead|baldpate|baldy|cutis|hide|peel|pelt|skin|skinhead|tegument,connective tissue|body covering|surface|animation|life|living|aliveness|bully|tough|hooligan|ruffian|roughneck|rowdy|yob|yobo|yobbo|person|individual|someone|somebody|mortal|soul|rind|bag
highly,highly,ADV,9,highli,extremely|highly,NA
absorption,absorption,NOUN,9,absorpt,absorption|assimilation|concentration|engrossment|immersion|preoccupancy|preoccupation|soaking up,sorption|natural process|natural action|action|activity|social process|organic process|biological process|attention|cognitive state|state of mind
melanin,melanin,NOUN,9,melanin,melanin,animal pigment
dominate,dominate,ADJ,9,domin,,NA
inside,inside,ADV,9,insid,at bottom|at heart|deep down|in spite of appearance|indoors|inside|inwardly|within,NA
leading,lead,VERB,9,lead,chair|conduce|conduct|contribute|direct|extend|go|guide|head|lead|leave|moderate|pass|precede|result|run|take|top,produce|bring about|give rise|leave|result|lead|precede|induce|stimulate|cause|have|get|make|be|direct|promote|advance|boost|further|encourage|perform|execute|do|travel|go|move|locomote|pass|make pass|hash out|discuss|talk over
unrevealed,unrevealed,ADJ,9,unrev,undisclosed|unrevealed,
internal,internal,ADJ,9,intern,home(a)|inner|interior|interior(a)|internal|intimate|intragroup|national,
structure,structure,NOUN,9,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
tissue,tissue,NOUN,9,tissu,tissue|tissue paper,body part|paper
directly,directly,ADV,9,directli,at once|direct|directly|flat|forthwith|immediately|instantly|like a shot|now|right away|straight|straight off|straightaway,
therefore,therefore,ADV,10,therefor,consequently|hence|so|thence|therefore|thus,NA
blood,blood,NOUN,10,blood,ancestry|blood|blood line|bloodline|descent|line|line of descent|lineage|origin|parentage|pedigree|profligate|rake|rakehell|rip|roue|stemma|stock,liquid body substance|bodily fluid|body fluid|humor|humour|disposition|temperament|libertine|debauchee|rounder|genealogy|family tree|people
vessels,vessel,NOUN,10,vessel,vas|vessel|watercraft,tube|tube-shaped structure|craft|container
segmentation,segmentation,NOUN,10,segment,cleavage|division|partition|partitioning|sectionalisation|sectionalization|segmentation,cell division|cellular division|separation
reconstruction,reconstruction,NOUN,10,reconstruct,reconstruction|Reconstruction|Reconstruction Period|reconstructive memory,repair|fix|fixing|fixture|mend|mending|reparation|interpretation|recall|recollection|reminiscence
pam,pam,NOUN,10,pam,,NA
vital,vital,ADJ,10,vital,critical|life-sustaining|lively|vital,
step,step,NOUN,10,step,dance step|footfall|footmark|footprint|footstep|gradation|measure|pace|stair|step|stone's throw|stride|tone|whole step|whole tone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|indefinite quantity|locomotion|travel|support|rank|small indefinite quantity|small indefinite amount|sound|interval|musical interval|mark|print|block
imaging,image,VERB,10,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
functions,function,NOUN,10,function,affair|function|map|mapping|mathematical function|occasion|office|part|procedure|purpose|role|routine|single-valued function|social function|social occasion|subprogram|subroutine|use,mathematical relation|utility|usefulness|duty|relation|social gathering|social affair|social event|software|software program|computer software|software system|software package|package
structures,structure,NOUN,10,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
subcutaneous,subcutaneous,ADJ,10,subcutan,hypodermic|subcutaneous,
microvasculature,microvasculature,NOUN,10,microvasculatur,,NA
many,many,ADJ,11,mani,many,
efforts,effort,NOUN,11,effort,attempt|campaign|cause|crusade|drive|effort|elbow grease|endeavor|endeavour|exertion|exploit|feat|movement|sweat|travail|try,activity|labor|labour|toil|accomplishment|achievement|venture
have,have,VERB,11,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
focused,focus,VERB,11,focu,center|centre|concenter|concentrate|concentre|focalise|focalize|focus|pore|rivet|sharpen,think|cogitate|cerebrate|sharpen|align|aline|line up|adjust|conform|adapt|set|correct
blood,blood,NOUN,11,blood,ancestry|blood|blood line|bloodline|descent|line|line of descent|lineage|origin|parentage|pedigree|profligate|rake|rakehell|rip|roue|stemma|stock,liquid body substance|bodily fluid|body fluid|humor|humour|disposition|temperament|libertine|debauchee|rounder|genealogy|family tree|people
vessels,vessel,NOUN,11,vessel,vas|vessel|watercraft,tube|tube-shaped structure|craft|container
segmentation,segmentation,NOUN,11,segment,cleavage|division|partition|partitioning|sectionalisation|sectionalization|segmentation,cell division|cellular division|separation
pam,pam,NOUN,11,pam,,NA
images,image,NOUN,11,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
basic,basic,ADJ,11,basic,basic|canonic|canonical|introductory,
method,method,NOUN,11,method,method|method acting,know-how|acting|playing|playacting|performing
performed,perform,VERB,11,perform,do|execute|perform,act|move|re-create|carry through|accomplish|execute|carry out|action|fulfill|fulfil
clinical,clinical,ADJ,11,clinic,clinical,
experts,expert,NOUN,11,expert,expert,person|individual|someone|somebody|mortal|soul
experience,experience,NOUN,11,experi,experience,education|content|cognitive content|mental object|happening|occurrence|occurrent|natural event
anatomical,anatomical,ADJ,11,anatom,anatomic|anatomical,
tissues,tissue,NOUN,11,tissu,tissue|tissue paper,body part|paper
scan,scan,ADJ,12,scan,,NA
image,image,NOUN,12,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
skin,skin,NOUN,12,skin,baldhead|baldpate|baldy|cutis|hide|peel|pelt|skin|skinhead|tegument,connective tissue|body covering|surface|animation|life|living|aliveness|bully|tough|hooligan|ruffian|roughneck|rowdy|yob|yobo|yobbo|person|individual|someone|somebody|mortal|soul|rind|bag
profile,profile,NOUN,12,profil,profile|visibility,chart|graph|outline|lineation|biography|life|life story|life history|salience|saliency|strikingness|cross section
vessels,vessel,NOUN,12,vessel,vas|vessel|watercraft,tube|tube-shaped structure|craft|container
selected,select,VERB,12,select,choose|pick out|select|take,decide|make up one's mind|determine
manually,manually,ADV,12,manual,manually,
therefore,therefore,ADV,13,therefor,consequently|hence|so|thence|therefore|thus,NA
method,method,NOUN,13,method,method|method acting,know-how|acting|playing|playacting|performing
suitable,suitable,ADJ,13,suitabl,desirable|suitable|suited|worthy,
resolution,resolution,NOUN,13,resolut,answer|closure|declaration|firmness|firmness of purpose|resoluteness|resolution|resolve|resolving|resolving power|result|settlement|solution|solvent|solving,document|written document|papers|physical phenomenon|trait|determination|finding|decision making|deciding|breakdown|partitioning|remission|remittal|subsidence|harmony|musical harmony|statement|decision|conclusion
imaging,image,VERB,13,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
large,large,ADJ,13,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
number,number,NOUN,13,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
scan,scan,ADJ,13,scan,,NA
images,image,NOUN,13,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
exceed,exceed,VERB,13,exce,exceed|go past|outdo|outgo|outmatch|outperform|outstrip|overstep|pass|surmount|surpass|top|transcend,excel|stand out|surpass|beat|beat out|crush|shell|trounce|vanquish
over,over,ADV,13,over,all over|o'er|over,NA
most,most,ADJ,13,most,most(a),
clinical,clinical,ADJ,13,clinic,clinical,
experts,expert,NOUN,13,expert,expert,person|individual|someone|somebody|mortal|soul
