token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
thus,thus,ADV,68,thu,hence|so|thence|therefore|thus|thusly,NA,S0020025508004520,S0020025508004520_68
used,use,VERB,68,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_68
subset,subset,NOUN,68,subset,subset,set,S0020025508004520,S0020025508004520_68
nodes,node,NOUN,68,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_68
experiments,experiment,NOUN,144,experi,experiment|experimentation,scientific research|research project|inquiry|enquiry|research|venture,S0020025508004520,S0020025508004520_144
compare,compare,VERB,144,compar,compare|equate|liken,analyze|analyse|study|examine|canvass|be|consider|inflect,S0020025508004520,S0020025508004520_144
cn,cn,NOUN,144,cn,NA,NA,S0020025508004520,S0020025508004520_144
summ,summ,NOUN,144,summ,NA,NA,S0020025508004520,S0020025508004520_144
other,other,ADJ,144,other,early(a)|former(a)|other|other(a),NA,S0020025508004520,S0020025508004520_144
extractive,extractive,ADJ,144,extract,NA,NA,S0020025508004520,S0020025508004520_144
summarizers,summarizer,NOUN,144,summar,NA,NA,S0020025508004520,S0020025508004520_144
previously,previously,ADV,144,previous,antecedently|previously,NA,S0020025508004520,S0020025508004520_144
evaluated,evaluate,VERB,144,evalu,appraise|assess|evaluate|judge|measure|pass judgment|valuate|value,evaluate|pass judgment|judge|think|cogitate|cerebrate,S0020025508004520,S0020025508004520_144
same,same,ADJ,144,same,like|same|same(p),NA,S0020025508004520,S0020025508004520_144
corpus,corpus,NOUN,144,corpu,corpus|principal|principal sum,capital|collection|aggregation|accumulation|assemblage|part|piece,S0020025508004520,S0020025508004520_144
table,table,NOUN,171,tabl,board|mesa|table|tabular array,array|furniture|piece of furniture|article of furniture|tableland|plateau|gathering|assemblage|fare,S0020025508004520,S0020025508004520_171
also,also,ADV,171,also,also|as well|besides|likewise|too,NA,S0020025508004520,S0020025508004520_171
includes,include,VERB,171,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance,S0020025508004520,S0020025508004520_171
results,result,NOUN,171,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role,S0020025508004520,S0020025508004520_171
baseline,baseline,NOUN,171,baselin,baseline|service line,standard|criterion|measure|touchstone|line,S0020025508004520,S0020025508004520_171
systems,systems,NOUN,171,system,NA,NA,S0020025508004520,S0020025508004520_171
as,as,ADV,171,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_171
cn,cn,NOUN,171,cn,NA,NA,S0020025508004520,S0020025508004520_171
summ,summ,NOUN,171,summ,NA,NA,S0020025508004520,S0020025508004520_171
strategies,strategy,NOUN,171,strategi,scheme|strategy,plan of action|military science,S0020025508004520,S0020025508004520_171
other,other,ADJ,4,other,early(a)|former(a)|other|other(a),NA,S0020025514004137,S0020025514004137_4
hand,hand,NOUN,4,hand,bridge player|deal|hand|handwriting|helping hand|hired hand|hired man|manus|mitt|paw|script,extremity|laborer|manual laborer|labourer|jack|writing|ability|power|side|collection|aggregation|accumulation|assemblage|pointer|handbreadth|handsbreadth|sailor|crewman|card player|applause|hand clapping|clapping|forepaw|aid|assist|assistance|help,S0020025514004137,S0020025514004137_4
major,major,ADJ,4,major,major|major(ip),NA,S0020025514004137,S0020025514004137_4
obstacle,obstacle,NOUN,4,obstacl,obstacle|obstruction,hindrance|hinderance|deterrent|impediment|balk|baulk|check|handicap|obstruction|obstructor|obstructer|impedimenta,S0020025514004137,S0020025514004137_4
lack,lack,NOUN,4,lack,deficiency|lack|want,need|demand,S0020025514004137,S0020025514004137_4
effective,effective,ADJ,4,effect,effective|effectual|efficacious|efficient|good|in effect(p)|in force(p),NA,S0020025514004137,S0020025514004137_4
quantitative,quantitative,ADJ,4,quantit,quantitative,NA,S0020025514004137,S0020025514004137_4
evaluation,evaluation,NOUN,4,evalu,evaluation|rating|valuation,judgment|judgement|assessment|appraisal,S0020025514004137,S0020025514004137_4
method,method,NOUN,4,method,method|method acting,know-how|acting|playing|playacting|performing,S0020025514004137,S0020025514004137_4
developed,develop,VERB,4,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand,S0020025514004137,S0020025514004137_4
missing,miss,ADJ,245,miss,NA,NA,S0020025514009608,S0020025514009608_245
attributes,attributes,NOUN,245,attribut,NA,NA,S0020025514009608,S0020025514009608_245
present,present,ADJ,245,present,present|present(a),NA,S0020025514009608,S0020025514009608_245
input,input,NOUN,245,input,comment|input|input signal|remark|stimulant|stimulation|stimulus,signal|signaling|sign|statement|information|component|constituent|element,S0020025514009608,S0020025514009608_245
mean,mean,VERB,245,mean,entail|have in mind|imply|intend|mean|signify|stand for|think|think of,NA,S0020025514009608,S0020025514009608_245
numerical,numerical,ADJ,245,numer,mathematical|numeral|numeric|numerical,NA,S0020025514009608,S0020025514009608_245
most,most,ADJ,245,most,most(a),NA,S0020025514009608,S0020025514009608_245
frequent,frequent,ADJ,245,frequent,frequent,NA,S0020025514009608,S0020025514009608_245
categorical,categorical,ADJ,245,categor,categoric|categorical|flat|unconditional,NA,S0020025514009608,S0020025514009608_245
value,value,NOUN,245,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal,S0020025514009608,S0020025514009608_245
spots,spot,NOUN,245,spot,berth|billet|bit|blot|dapple|daub|fleck|maculation|office|patch|pip|place|point|position|post|situation|slur|smear|smirch|smudge|speckle|spot|spotlight|stain|topographic point|touch,point|section|subdivision|characteristic|blemish|defect|mar|marking|place of business|business establishment|occupation|business|job|line of work|line|attack|small indefinite quantity|small indefinite amount|marker|mark|lamp|playing card|mistake|error|fault,S0020025514009608,S0020025514009608_245
techniques,techniques,NOUN,302,techniqu,NA,NA,S0020025514009608,S0020025514009608_302
adopted,adopt,VERB,302,adopt,acquire|adopt|assume|borrow|dramatise|dramatize|embrace|espouse|follow|sweep up|take|take in|take on|take over|take up,choose|take|select|pick out|accept|have|take office|change|write|compose|pen|indite,S0020025514009608,S0020025514009608_302
as,as,ADV,302,a,as|equally|every bit,NA,S0020025514009608,S0020025514009608_302
low,low,ADJ,302,low,abject|blue|broken|crushed|depleted|depressed|dispirited|down in the mouth|down(p)|downcast|downhearted|gloomy|grim|humble|humbled|humiliated|low|low-down|low-pitched|low-spirited|low-toned|lowly|miserable|modest|scummy|scurvy|small,NA,S0020025514009608,S0020025514009608_302
level,level,NOUN,302,level,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction,S0020025514009608,S0020025514009608_302
ones,one,NOUN,302,on,1|ace|I|one|single|unity,digit|figure|unit,S0020025514009608,S0020025514009608_302
listed,list,VERB,302,list,heel|lean|list|name|number,enumerate|recite|itemize|itemise|register|move|lean|tilt|tip|slant|angle|name|identify,S0020025514009608,S0020025514009608_302
below,below,ADV,302,below,at a lower place|below|beneath|down the stairs|downstairs|infra|on a lower floor|to a lower place|under,NA,S0020025514009608,S0020025514009608_302
linear,linear,NOUN,302,linear,NA,NA,S0020025514009608,S0020025514009608_302
classifier,classifier,NOUN,302,classifi,classifier,thinker|word|morpheme,S0020025514009608,S0020025514009608_302
implemented,implement,VERB,302,implement,apply|carry out|enforce|follow out|follow through|follow up|go through with|implement|put through,use|utilize|utilise|apply|employ|compel|oblige|obligate|complete|finish,S0020025514009608,S0020025514009608_302
layer,layer,NOUN,302,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure,S0020025514009608,S0020025514009608_302
neural,neural,ADJ,302,neural,nervous|neural|neuronal|neuronic,NA,S0020025514009608,S0020025514009608_302
network,network,NOUN,302,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025514009608,S0020025514009608_302
perceptron,perceptron,NOUN,302,perceptron,NA,NA,S0020025514009608,S0020025514009608_302
also,also,ADV,343,also,also|as well|besides|likewise|too,NA,S0020025514009608,S0020025514009608_343
worth,worth,ADJ,343,worth,deserving|worth(p),NA,S0020025514009608,S0020025514009608_343
observing,obserive,VERB,343,obser,NA,NA,S0020025514009608,S0020025514009608_343
application,application,NOUN,343,applic,application|application program|applications programme|coating|covering|diligence|lotion|practical application,use|usage|utilization|utilisation|employment|exercise|request|petition|postulation|manual labor|manual labour|program|programme|computer program|computer programme|remedy|curative|cure|therapeutic|effort|elbow grease|exertion|travail|sweat|action,S0020025514009608,S0020025514009608_343
tourist,tourist,NOUN,343,tourist,holidaymaker|tourer|tourist,traveler|traveller,S0020025514009608,S0020025514009608_343
walks,walk,VERB,343,walk,take the air|walk,travel|go|move|locomote|accompany|score|hit|tally|rack up|traverse|track|cover|cross|pass over|get over|get across|cut through|cut across|play|behave|comport|consociate|associate|pace|compel|oblige|obligate,S0020025514009608,S0020025514009608_343
dynamics,dynamics,NOUN,343,dynam,dynamics|kinetics,mechanics,S0020025514009608,S0020025514009608_343
context,context,NOUN,343,context,circumstance|context|context of use|linguistic context|setting,discourse|environment,S0020025514009608,S0020025514009608_343
level,level,NOUN,343,level,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction,S0020025514009608,S0020025514009608_343
classifier,classifier,NOUN,343,classifi,classifier,thinker|word|morpheme,S0020025514009608,S0020025514009608_343
novel,novel,NOUN,343,novel,novel,fiction|book|volume,S0020025514009608,S0020025514009608_343
approach,approach,NOUN,343,approach,access|advance|approach|approach path|approach shot|approaching|attack|coming|feeler|glide path|glide slope|overture|plan of attack,conceptualization|conceptualisation|formulation|motion|movement|move|way|air lane|flight path|airway|skyway|suggestion|proposition|proffer|timing|similarity|golf stroke|golf shot|swing,S0020025514009608,S0020025514009608_343
literature,literature,NOUN,343,literatur,lit|literature,writing|written material|piece of writing|literary study|profession,S0020025514009608,S0020025514009608_343
russian,russian,ADJ,94,russian,Russian,NA,S0020025516310283,S0020025516310283_94
variability,variability,NOUN,94,variabl,unevenness|variability|variableness|variance,changeableness|changeability|irregularity|unregularity,S0020025516310283,S0020025516310283_94
items,item,NOUN,94,item,detail|item|particular|point|token,part|portion|component part|component|constituent|whole|unit|fact|symbol,S0020025516310283,S0020025516310283_94
also,also,ADV,94,also,also|as well|besides|likewise|too,NA,S0020025516310283,S0020025516310283_94
strong,strong,ADJ,94,strong,firm|hard|impregnable|inviolable|potent|secure|solid|stiff|strong|substantial|unassailable|unattackable|warm,NA,S0020025516310283,S0020025516310283_94
pronouns,pronoun,NOUN,94,pronoun,pronoun,function word|closed-class word,S0020025516310283,S0020025516310283_94
exhibiting,exhibit,NOUN,94,exhibit,display|exhibit|showing,evidence|show,S0020025516310283,S0020025516310283_94
largest,largest,ADJ,94,largest,NA,NA,S0020025516310283,S0020025516310283_94
differences,difference,NOUN,94,differ,conflict|departure|deviation|difference|difference of opinion|dispute|divergence|remainder,quality|variation|fluctuation|disagreement|change|number,S0020025516310283,S0020025516310283_94
conjunction,conjunction,NOUN,94,conjunct,alignment|co-occurrence|coincidence|colligation|concurrence|conjugation|conjunction|conjunctive|connective|continuative|junction,simultaneity|simultaneousness|union|unification|function word|closed-class word|grammatical relation|meeting|encounter|connection|connexion|connector|connecter|connective,S0020025516310283,S0020025516310283_94
prepositions,preposition,NOUN,94,preposit,preposition,function word|closed-class word|place|position,S0020025516310283,S0020025516310283_94
cexhibiting,cexhibit,NOUN,94,cexhibit,NA,NA,S0020025516310283,S0020025516310283_94
smallest,smallest,ADJ,94,smallest,NA,NA,S0020025516310283,S0020025516310283_94
ones,one,NOUN,94,on,1|ace|I|one|single|unity,digit|figure|unit,S0020025516310283,S0020025516310283_94
case,case,NOUN,51,case,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen,S0020025518301300,S0020025518301300_51
even,even,ADV,51,even,even|still|yet,NA,S0020025518301300,S0020025518301300_51
though,though,ADV,51,though,though,NA,S0020025518301300,S0020025518301300_51
significant,significant,ADJ,51,signific,important|meaning(a)|pregnant|significant|substantial,NA,S0020025518301300,S0020025518301300_51
performance,performance,NOUN,51,perform,carrying into action|carrying out|execution|functioning|operation|performance|public presentation,show|presentation|presentment|demonstration|action|accomplishment|achievement|process|physical process,S0020025518301300,S0020025518301300_51
has,have,VERB,51,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025518301300,S0020025518301300_51
found,find,VERB,51,find,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow,S0020025518301300,S0020025518301300_51
particular,particular,ADJ,51,particular,especial(a)|exceptional|finical|finicky|fussy|particular|particular(a)|peculiar(a)|picky|special|special(a),NA,S0020025518301300,S0020025518301300_51
target,target,NOUN,51,target,aim|butt|fair game|mark|object|objective|prey|quarry|target|target area,reference point|point of reference|reference|victim|topographic point|place|spot|sports equipment|goal|end,S0020025518301300,S0020025518301300_51
words,word,NOUN,51,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025518301300,S0020025518301300_51
optimal,optimal,ADJ,51,optim,optimal|optimum,NA,S0020025518301300,S0020025518301300_51
discrimination,discrimination,NOUN,51,discrimin,discrimination|favoritism|favouritism|secernment,social control|basic cognitive process,S0020025518301300,S0020025518301300_51
rate,rate,NOUN,51,rate,charge per unit|pace|rate,magnitude relation|quantitative relation|charge|temporal property|proportion,S0020025518301300,S0020025518301300_51
obtained,obtain,VERB,51,obtain,find|get|hold|incur|obtain|prevail|receive,get|acquire|change|exist|be,S0020025518301300,S0020025518301300_51
traditional,traditional,ADJ,51,tradit,traditional,NA,S0020025518301300,S0020025518301300_51
local,local,ADJ,51,local,local,NA,S0020025518301300,S0020025518301300_51
features,feature,NOUN,51,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product,S0020025518301300,S0020025518301300_51
suggesting,suggest,VERB,51,suggest,advise|evoke|hint|intimate|paint a picture|propose|suggest,declare|convey|imply|express|show|evince,S0020025518301300,S0020025518301300_51
thus,thus,ADV,51,thu,hence|so|thence|therefore|thus|thusly,NA,S0020025518301300,S0020025518301300_51
overall,overall,ADV,51,overal,NA,NA,S0020025518301300,S0020025518301300_51
discriminability,discriminability,NOUN,51,discrimin,NA,NA,S0020025518301300,S0020025518301300_51
improved,improve,VERB,51,improv,ameliorate|amend|better|improve|meliorate,change|alter|modify|change state|turn,S0020025518301300,S0020025518301300_51
combining,combine,VERB,51,combin,aggregate|blend|coalesce|combine|commingle|compound|conflate|flux|fuse|immix|meld|merge|mix|unite,have|feature|add|mix|mingle|commix|unify|amalgamate|contribute|give|chip in|kick in|interact|change integrity,S0020025518301300,S0020025518301300_51
distinct,distinct,ADJ,51,distinct,clear-cut|decided|discrete|distinct|distinguishable|trenchant,NA,S0020025518301300,S0020025518301300_51
nature,nature,NOUN,51,natur,nature,quality|causal agent|cause|causal agency|universe|existence|creation|world|cosmos|macrocosm|trait|type,S0020025518301300,S0020025518301300_51
as,as,ADV,51,a,as|equally|every bit,NA,S0020025518301300,S0020025518301300_51
suggested,suggest,VERB,51,suggest,advise|evoke|hint|intimate|paint a picture|propose|suggest,declare|convey|imply|express|show|evince,S0020025518301300,S0020025518301300_51
similar,similar,ADJ,51,similar,alike(p)|exchangeable|interchangeable|like|similar|standardised|standardized,NA,S0020025518301300,S0020025518301300_51
approaches,approach,VERB,51,approach,approach|border on|come near|come on|draw close|draw near|go about|go up|near|set about,come|come up|approximate|come close|act|move|address|accost|come up to,S0020025518301300,S0020025518301300_51
main,main,ADJ,77,main,chief(a)|independent|main(a)|master(a)|primary(a)|principal(a),NA,S0020025518301300,S0020025518301300_77
components,component,NOUN,77,compon,component|component part|constituent|element|factor|ingredient|part|portion,part|section|division|relation|portion,S0020025518301300,S0020025518301300_77
model,model,NOUN,77,model,example|exemplar|fashion model|framework|good example|manakin|manikin|mannequin|mannikin|model|modeling|modelling|poser|role model|simulation|theoretical account,hypothesis|possibility|theory|kind|sort|form|variety|assistant|helper|help|supporter|representation|ideal|leader|mental representation|internal representation,S0020025518301300,S0020025518301300_77
where,where,ADV,77,where,NA,NA,S0020025518301300,S0020025518301300_77
δ,δ,NOUN,77,δ,NA,NA,S0020025518301300,S0020025518301300_77
dk,dk,NOUN,77,dk,NA,NA,S0020025518301300,S0020025518301300_77
denotes,denote,NOUN,77,denot,NA,NA,S0020025518301300,S0020025518301300_77
distance,distance,NOUN,77,distanc,aloofness|distance|length|space,spacing|spatial arrangement|region|part|size|indifference|time interval|interval|point|point in time,S0020025518301300,S0020025518301300_77
words,word,NOUN,77,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025518301300,S0020025518301300_77
number,number,NOUN,77,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025518301300,S0020025518301300_77
intermediary,intermediary,ADJ,77,intermediari,NA,NA,S0020025518301300,S0020025518301300_77
t,t,NOUN,77,t,deoxythymidine monophosphate|liothyronine|metric ton|MT|t|T|tetraiodothyronine|thymine|thyroxin|thyroxine|tonne|triiodothyronine,pyrimidine|nucleotide|base|metric weight unit|weight unit|letter|letter of the alphabet|alphabetic character|thyroid hormone,S0020025518301300,S0020025518301300_77
length,length,NOUN,77,length,distance|duration|length,fundamental quantity|fundamental measure|physical property|dimension|temporal property|extent|size|section|segment,S0020025518301300,S0020025518301300_77
measured,measure,VERB,77,measur,appraise|assess|evaluate|measure|measure out|mensurate|quantify|valuate|value,decide|make up one's mind|determine|carry|convey|express|be|evaluate|pass judgment|judge,S0020025518301300,S0020025518301300_77
terms,term,NOUN,77,term,condition|full term|strings|term|terminal figure|terminus,word|time period|period of time|period|statement|quantity|constituent|grammatical constituent|point|point in time|statue,S0020025518301300,S0020025518301300_77
word,word,NOUN,77,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025518301300,S0020025518301300_77
counts,count,NOUN,77,count,count|counting|enumeration|numeration|reckoning|tally,number|investigation|investigating|Lord|noble|nobleman,S0020025518301300,S0020025518301300_77
acknowledges,acknowledge,NOUN,199,acknowledg,NA,NA,S0020025518301300,S0020025518301300_199
support,support,NOUN,199,support,accompaniment|backing|backup|bread and butter|documentation|financial backing|financial support|funding|keep|livelihood|living|musical accompaniment|reenforcement|reinforcement|support|supporting|sustenance,activity|aid|assist|assistance|help|influence|operation|military operation|validation|proof|substantiation|resource|supporting structure|part|voice|device,S0020025518301300,S0020025518301300_199
fapesp,fapesp,NOUN,199,fapesp,NA,NA,S0020025518301300,S0020025518301300_199
cnpq,cnpq,NOUN,199,cnpq,NA,NA,S0020025518301300,S0020025518301300_199
brazil,brazil,NOUN,199,brazil,Brasil|brazil|Brazil|brazil nut|Federative Republic of Brazil,edible nut,S0020025518301300,S0020025518301300_199
modularity,modularity,NOUN,108,modular,NA,NA,S002002551930043X,S002002551930043X_108
partition,partition,NOUN,108,partit,divider|division|partition|partitioning|sectionalisation|sectionalization|segmentation,structure|construction|computer memory unit|body part|separation,S002002551930043X,S002002551930043X_108
defined,define,VERB,108,defin,define|delimit|delimitate|delineate|determine|fix|limit|set|specify,be|specify|set|determine|define|fix|limit|characterize|characterise|show|choose|take|select|pick out,S002002551930043X,S002002551930043X_108
as,as,ADV,108,a,as|equally|every bit,NA,S002002551930043X,S002002551930043X_108
deg,deg,NOUN,108,deg,NA,NA,S002002551930043X,S002002551930043X_108
v,v,NOUN,108,v,5|atomic number 23|cinque|fin|five|fivesome|Little Phoebe|pentad|Phoebe|quint|quintet|quintuplet|v|V|vanadium|volt,potential unit|metallic element|metal|digit|figure|letter|letter of the alphabet|alphabetic character,S002002551930043X,S002002551930043X_108
twomδ,twomδ,NOUN,108,twomδ,NA,NA,S002002551930043X,S002002551930043X_108
cucv,cucv,NOUN,108,cucv,NA,NA,S002002551930043X,S002002551930043X_108
has,have,VERB,108,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S002002551930043X,S002002551930043X_108
value,value,NOUN,108,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal,S002002551930043X,S002002551930043X_108
indicates,indicate,VERB,108,indic,argue|bespeak|betoken|designate|indicate|point|show|signal,tell|inform|present|represent|lay out,S002002551930043X,S002002551930043X_108
density,density,NOUN,108,densiti,compactness|concentration|denseness|density|tightness,compactness|spacing|spatial arrangement,S002002551930043X,S002002551930043X_108
edges,edge,NOUN,108,edg,border|bound|boundary|edge|sharpness,boundary|bound|bounds|line|side|urgency|superiority|favorable position|favourable position|limit|demarcation|demarcation line,S002002551930043X,S002002551930043X_108
given,give,VERB,108,give,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer,S002002551930043X,S002002551930043X_108
groups,group,NOUN,108,group,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set,S002002551930043X,S002002551930043X_108
higher,higher,ADJ,108,higher,higher(a),NA,S002002551930043X,S002002551930043X_108
lower,lower,ADJ,108,lower,NA,NA,S002002551930043X,S002002551930043X_108
distributed,distribute,VERB,108,distribut,administer|allot|broadcast|circularise|circularize|circulate|deal|deal out|diffuse|dish out|dispense|disperse|disseminate|distribute|dole out|give out|hand out|lot|mete out|parcel out|pass around|pass on|pass out|propagate|shell out|spread|stagger,give|transfer|gift|present|move|displace|publicize|publicise|air|bare|spread|scatter|spread out|exist|be|arrange|set up,S002002551930043X,S002002551930043X_108
